ticker,market_cap,shares_outstanding,float_shares,trailing_eps,trailing_pe,beta,dividend_yield,sector,industry
AAPL,4036586110976,14776353000,14750642146,7.45,36.510067,1.107,0.38,Technology,Consumer Electronics
MSFT,3621587255296,7432377655,7421526384,14.06,34.652916,1.07,0.75,Technology,Software - Infrastructure
NVDA,4595374358528,24305000000,23329944000,4.04,46.71906,2.284,0.02,Technology,Semiconductors
GOOGL,3811261022208,5818000000,10798516960,10.13,31.062685,1.07,0.27,Communication Services,Internet Content & Information
META,1677906673664,2177889269,2173375331,22.62,29.429556,1.273,0.32,Communication Services,Internet Content & Information
AMZN,2481284710400,10690216011,9702012443,7.08,32.783615,1.372,,Consumer Cyclical,Internet Retail
TSLA,1619707166720,3325819167,2385776379,1.47,331.29932,1.878,,Consumer Cyclical,Auto Manufacturers
AMD,348889317376,1628041540,1619054751,1.91,112.19896,1.927,,Technology,Semiconductors
AVGO,1654420013056,4741273799,405841950,4.78,73.0,1.204,0.76,Technology,Semiconductors
CRM,251147124736,937000000,911654150,7.49,35.22163,1.253,0.63,Technology,Software - Application
ORCL,560086253568,2873130000,1706179519,5.32,36.642746,1.659,1.01,Technology,Software - Infrastructure
ADBE,149089320960,418600000,415811550,16.7,21.045507,1.54,,Technology,Software - Application
